,Data,4248 - Exportações (Kg) - Produtos manufaturados - kg
0,10/2001,0.5052814479032705
1,11/2001,0.49016069070632773
2,12/2001,0.4134100873660238
3,01/2002,0.3902214793131978
4,02/2002,0.3292367512489103
5,03/2002,0.49220628282578194
6,04/2002,0.4057681345375143
7,05/2002,0.4661893034474457
8,06/2002,0.447845383059125
9,07/2002,0.6164313948231672
10,08/2002,0.5911713685713055
11,09/2002,0.6776590666934293
12,10/2002,0.667068934181019
13,11/2002,0.5168605168782715
14,12/2002,0.50230541405797
15,01/2003,0.5001668428769636
16,02/2003,0.48114556785289375
17,03/2003,0.4657601769275848
18,04/2003,0.5085687385276094
19,05/2003,0.6110366851798494
20,06/2003,0.4777591505017119
21,07/2003,0.6926447401455533
22,08/2003,0.583664281154257
23,09/2003,0.7336183240287819
24,10/2003,0.7818117805873157
25,11/2003,0.6578796667134224
26,12/2003,0.6254428777162135
27,01/2004,0.5323617139474763
28,02/2004,0.4927007596821751
29,03/2004,0.7476742439025678
30,04/2004,0.6494971083629058
31,05/2004,0.6950980961088342
32,06/2004,0.7475751322273662
33,07/2004,0.7722504465262171
34,08/2004,0.7373514885760996
35,09/2004,0.8164715341341502
36,10/2004,0.6935983353545027
37,11/2004,0.7357490101792112
38,12/2004,0.7755209530484928
39,01/2005,0.6567313665174904
40,02/2005,0.5945586386233317
41,03/2005,0.7275388289742881
42,04/2005,0.6620630344754515
43,05/2005,0.6950273111150954
44,06/2005,0.771163206103465
45,07/2005,0.8353425824475922
46,08/2005,0.8604574068693278
47,09/2005,0.7913579689766922
48,10/2005,0.7328941806051872
49,11/2005,0.8076526652337905
50,12/2005,0.7538795459864065
51,01/2006,0.7682373507094422
52,02/2006,0.6152848083157827
53,03/2006,0.794495190678957
54,04/2006,0.6782472094059263
55,05/2006,0.677325472264067
56,06/2006,0.7174227627853851
57,07/2006,1.0
58,08/2006,0.8734008173206256
59,09/2006,0.8031331390206812
60,10/2006,0.8488149895951995
61,11/2006,0.7783244680260045
62,12/2006,0.8316777865136752
63,01/2007,0.7405818060324163
64,02/2007,0.6499302303324789
65,03/2007,0.842450967108843
66,04/2007,0.8073911796661183
67,05/2007,0.8220431326948044
68,06/2007,0.7845486993244633
69,07/2007,0.870768740198646
70,08/2007,0.9170684641977491
71,09/2007,0.7904425550462315
72,10/2007,0.833290115786959
73,11/2007,0.7672891128700584
74,12/2007,0.6656167249437691
75,01/2008,0.7619673216637862
76,02/2008,0.6609617525626141
77,03/2008,0.6032207311505681
78,04/2008,0.7074021351638615
79,05/2008,0.7877034122176908
80,06/2008,0.7387730279803199
81,07/2008,0.8239853966500739
82,08/2008,0.7454333391495356
83,09/2008,0.6749445136804533
84,10/2008,0.7357545529038195
85,11/2008,0.6031748579760449
86,12/2008,0.7219638004997455
87,01/2009,0.47698150576563536
88,02/2009,0.5580225741998881
89,03/2009,0.5905658941475951
90,04/2009,0.6172093397464707
