Data;1522 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Índice
10/2001;28,50
11/2001;28,40
12/2001;44,50
01/2002;27,90
02/2002;23,60
03/2002;27,00
04/2002;27,20
05/2002;30,00
06/2002;25,50
07/2002;26,80
08/2002;27,50
09/2002;25,20
10/2002;28,40
11/2002;27,90
12/2002;40,80
01/2003;24,90
02/2003;23,00
03/2003;22,70
04/2003;22,80
05/2003;26,80
06/2003;24,30
07/2003;26,50
08/2003;27,20
09/2003;27,00
10/2003;30,10
11/2003;30,50
12/2003;49,30
01/2004;29,60
02/2004;26,80
03/2004;31,00
04/2004;30,30
05/2004;36,10
06/2004;33,10
07/2004;35,10
08/2004;34,90
09/2004;32,50
10/2004;35,90
11/2004;37,10
12/2004;61,00
01/2005;35,50
02/2005;31,30
03/2005;36,50
04/2005;37,60
05/2005;42,80
06/2005;40,10
07/2005;40,90
08/2005;40,80
09/2005;36,50
10/2005;40,10
11/2005;42,50
12/2005;66,80
01/2006;39,90
02/2006;34,30
03/2006;40,40
04/2006;38,70
05/2006;49,30
06/2006;41,40
07/2006;41,60
08/2006;45,20
09/2006;44,00
10/2006;47,40
11/2006;48,60
12/2006;70,80
01/2007;49,50
02/2007;40,90
03/2007;47,60
04/2007;43,70
05/2007;54,40
06/2007;48,00
07/2007;49,20
08/2007;52,90
09/2007;49,60
10/2007;53,90
11/2007;56,20
12/2007;79,10
01/2008;57,40
02/2008;49,90
03/2008;54,40
04/2008;55,90
05/2008;63,20
06/2008;55,80
07/2008;58,90
08/2008;59,90
09/2008;60,10
10/2008;62,40
11/2008;58,80
12/2008;82,70
01/2009;60,90
02/2009;48,90
03/2009;53,90
04/2009;50,30
Fonte;IBGE
