,Data,1483 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Índice
0,10/2001,0.6147540983606556
1,11/2001,0.49590163934426235
2,12/2001,0.5901639344262297
3,01/2002,0.5655737704918034
4,02/2002,0.39344262295081966
5,03/2002,0.6885245901639347
6,04/2002,0.627049180327869
7,05/2002,0.6557377049180326
8,06/2002,0.5
9,07/2002,0.848360655737705
10,08/2002,1.0
11,09/2002,0.860655737704918
12,10/2002,0.9098360655737703
13,11/2002,0.6311475409836067
14,12/2002,0.7459016393442623
15,01/2003,0.4221311475409837
16,02/2003,0.20491803278688492
17,03/2003,0.4221311475409837
18,04/2003,0.4180327868852456
19,05/2003,0.5860655737704921
20,06/2003,0.4631147540983611
21,07/2003,0.7827868852459017
22,08/2003,0.692622950819672
23,09/2003,0.5901639344262297
24,10/2003,0.7581967213114753
25,11/2003,0.6557377049180326
26,12/2003,0.7336065573770494
27,01/2004,0.5737704918032787
28,02/2004,0.3688524590163933
29,03/2004,0.7704918032786887
30,04/2004,0.6885245901639347
31,05/2004,0.7131147540983607
32,06/2004,0.7008196721311477
33,07/2004,0.8934426229508201
34,08/2004,0.7459016393442623
35,09/2004,0.7213114754098364
36,10/2004,0.7991803278688523
37,11/2004,0.6557377049180326
38,12/2004,0.8360655737704921
39,01/2005,0.540983606557377
40,02/2005,0.18852459016393475
41,03/2005,0.4795081967213113
42,04/2005,0.3688524590163933
43,05/2005,0.4836065573770494
44,06/2005,0.49180327868852425
45,07/2005,0.540983606557377
46,08/2005,0.540983606557377
47,09/2005,0.4754098360655741
48,10/2005,0.49590163934426235
49,11/2005,0.3770491803278686
50,12/2005,0.5860655737704921
51,01/2006,0.2704918032786887
52,02/2006,0.0
53,03/2006,0.19262295081967196
54,04/2006,0.04508196721311464
55,05/2006,0.12295081967213095
56,06/2006,0.10245901639344224
57,07/2006,0.22540983606557363
58,08/2006,0.3442622950819674
59,09/2006,0.2704918032786887
60,10/2006,0.31967213114754145
61,11/2006,0.28688524590163933
62,12/2006,0.4426229508196724
63,01/2007,0.3442622950819674
64,02/2007,0.13524590163934436
65,03/2007,0.38524590163934436
66,04/2007,0.22540983606557363
67,05/2007,0.278688524590164
68,06/2007,0.26229508196721296
69,07/2007,0.36065573770491843
70,08/2007,0.4631147540983611
71,09/2007,0.3770491803278686
72,10/2007,0.49180327868852425
73,11/2007,0.471311475409836
74,12/2007,0.540983606557377
75,01/2008,0.43442622950819665
76,02/2008,0.3360655737704916
77,03/2008,0.540983606557377
78,04/2008,0.4631147540983611
79,05/2008,0.6475409836065578
80,06/2008,0.6147540983606556
81,07/2008,0.8114754098360657
82,08/2008,0.819672131147541
83,09/2008,0.7622950819672134
84,10/2008,0.8278688524590163
85,11/2008,0.6311475409836067
86,12/2008,0.7377049180327866
87,01/2009,0.5491803278688523
88,02/2009,0.35655737704918034
89,03/2009,0.6844262295081966
90,04/2009,0.569672131147541
