,Data,4194 - Exportações (Kg) - Produtos básicos - kg
0,10/2001,0.28955234411998126
1,11/2001,0.1948215562398094
2,12/2001,0.186601182094839
3,01/2002,0.19304153028584686
4,02/2002,0.1478397206187826
5,03/2002,0.215614564397068
6,04/2002,0.2933021105498221
7,05/2002,0.17763605707738533
8,06/2002,0.0
9,07/2002,0.5785331723332265
10,08/2002,0.4634156031847961
11,09/2002,0.504249687161773
12,10/2002,0.34568317135083076
13,11/2002,0.25150773843184354
14,12/2002,0.23876016977466785
15,01/2003,0.3045065998469146
16,02/2003,0.26757849623862445
17,03/2003,0.29636656929609745
18,04/2003,0.3625879344797473
19,05/2003,0.3900775246453964
20,06/2003,0.2784371962262663
21,07/2003,0.26434370718663414
22,08/2003,0.2630770012928031
23,09/2003,0.46425585175904077
24,10/2003,0.5224929876681141
25,11/2003,0.2589183755576774
26,12/2003,0.18135567781688772
27,01/2004,0.48123483179362486
28,02/2004,0.2962913945305034
29,03/2004,0.5448302518239967
30,04/2004,0.16535328797219
31,05/2004,0.2872789177085952
32,06/2004,0.47227654749924014
33,07/2004,0.5381278264745797
34,08/2004,0.5697804047144515
35,09/2004,0.44689605747989897
36,10/2004,0.38096084214980247
37,11/2004,0.4209181069452494
38,12/2004,0.36768855187246724
39,01/2005,0.3149217995341545
40,02/2005,0.3709107214799087
41,03/2005,0.40499000022287507
42,04/2005,0.4692805010538424
43,05/2005,0.41406738080088074
44,06/2005,0.43546508843443715
45,07/2005,0.5191630440139876
46,08/2005,0.5446643430264733
47,09/2005,0.4418161889191427
48,10/2005,0.42900734021997117
49,11/2005,0.4937896858225624
50,12/2005,0.4985904557416912
51,01/2006,0.4013758050443034
52,02/2006,0.3457126690964872
53,03/2006,0.579019002264713
54,04/2006,0.3811763387554126
55,05/2006,0.31419632762076805
56,06/2006,0.5022224627190435
57,07/2006,0.8301307511003027
58,08/2006,0.5949635133777178
59,09/2006,0.532468799509831
60,10/2006,0.5669707376466206
61,11/2006,0.4927910900024984
62,12/2006,0.416501333320699
63,01/2007,0.5153903400534054
64,02/2007,0.42608472870513797
65,03/2007,0.5158991544148728
66,04/2007,0.5424869291690944
67,05/2007,0.5971822228520305
68,06/2007,0.49863215023031876
69,07/2007,0.7335413842849781
70,08/2007,0.6793830315528604
71,09/2007,0.5926542390890022
72,10/2007,0.6935415726769414
73,11/2007,0.5357991917234941
74,12/2007,0.5688606386824944
75,01/2008,0.5532672683103221
76,02/2008,0.510856728837958
77,03/2008,0.3040982074805982
78,04/2008,0.434857369711857
79,05/2008,1.0
80,06/2008,0.7051985994283192
81,07/2008,0.7502148270302385
82,08/2008,0.6852802576760952
83,09/2008,0.7340200369596637
84,10/2008,0.661711261073729
85,11/2008,0.4422673912154577
86,12/2008,0.3767691216494587
87,01/2009,0.40039446920910354
88,02/2009,0.405593080483917
89,03/2009,0.5594428665932898
90,04/2009,0.6545456994728724
